"Doyle_ A_SCANDAL_IN_BOHEMIA" "Doyle_hound_of_the_baskervilles" "Doyle_sign_of_the_four" "Doyle_study_in_scarlett" "Doyle_THE_VALLEY_OF_FEAR" "gaiman_study_in_emerald" "lovecraft__Beyond_the_Wall_of_Sleep" "lovecraft_At_the_Mountains_of_Madness" "lovecraft_Azathoth" "lovecraft_Celephais" "lovecraft_History_of_the_Necronomicon" "lovecraft_The_dunwich_terror"
"think" 0.16016474087633 0.212939395451748 0.238907849829352 0.135832654170062 0.203217612193057 0.112485939257593 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"down" 0.251687449948518 0.189649149074213 0.227531285551763 0.215068369102599 0.164267569856054 0.0374953130858643 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"hand" 0.217366434046448 0.133087122157342 0.225255972696246 0.212804491533098 0.215071972904318 0.162479690038745 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063
"sir" 0.0114403386340236 0.583919748465339 0.093287827076223 0.0430136738205198 0.0338696020321761 0.0499937507811524 0 0 0 0 0 0
"time" 0.125843724974259 0.153050190480944 0.17292377701934 0.19469347097709 0.182895850973751 0.174978127734033 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845
"about" 0.114403386340236 0.176340436858478 0.188850967007964 0.176582450421081 0.15580016934801 0.174978127734033 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"before" 0.16016474087633 0.153050190480944 0.093287827076223 0.181110205560083 0.221845893310754 0.124984376952881 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845
"find" 0.183045418144377 0.159704546588811 0.184300341296928 0.192429593407589 0.150719729043184 0.224971878515186 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"over" 0.102963047706212 0.191312738101179 0.195676905574517 0.19469347097709 0.14225232853514 0.0999875015623047 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"other" 0.148724402242306 0.123105587995542 0.191126279863481 0.187901838268586 0.176121930567316 0.124984376952881 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"look" 0.228806772680471 0.151386601453977 0.21160409556314 0.172054695282079 0.147332768839966 0.212473440819898 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"should" 0.16016474087633 0.232902463775349 0.166097838452787 0.129041021461559 0.157493649449619 0.124984376952881 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"tell" 0.148724402242306 0.194639916155113 0.136518771331058 0.10866612333605 0.181202370872142 0.287464066991626 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"how" 0.240247111314495 0.161368135615777 0.156996587030717 0.142624286878566 0.145639288738357 0.0374953130858643 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"give" 0.114403386340236 0.151386601453977 0.147895335608646 0.153943674726071 0.171041490262489 0.112485939257593 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"little" 0.16016474087633 0.0948245745371064 0.200227531285552 0.185637960699085 0.0965283657917019 0.112485939257593 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"two" 0.125843724974259 0.133087122157342 0.159271899886234 0.178846327990582 0.140558848433531 0.0999875015623047 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"face" 0.125843724974259 0.14473224534611 0.131968145620023 0.165263062573576 0.164267569856054 0.0499937507811524 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"get" 0.0915227090721885 0.118114820914641 0.161547212741752 0.126777143892058 0.254022015241321 0.0249968753905762 0 0 0 0 0 0
"eye" 0.125843724974259 0.129759944103409 0.104664391353811 0.162999185004075 0.104995766299746 0.112485939257593 0.299815498154982 0.299815498154982 0.299815498154982 0.299815498154982 0.299815498154982 0.299815498154982
"mr" 0.102963047706212 0.104806108698907 0.145620022753129 0.0928189803495427 0.299745977984759 0.0124984376952881 0 0 0 0 0 0
"here" 0.0343210159020707 0.14972301242701 0.209328782707622 0.113193878475052 0.189669771380186 0.0749906261717285 0 0 0 0 0 0
"than" 0.125843724974259 0.146395834373076 0.131968145620023 0.129041021461559 0.152413209144793 0.149981252343457 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"any" 0.080082370438165 0.161368135615777 0.131968145620023 0.162999185004075 0.130397967823878 0.112485939257593 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"only" 0.0915227090721885 0.161368135615777 0.147895335608646 0.0814995925020375 0.143945808636749 0.162479690038745 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"night" 0.0915227090721885 0.153050190480944 0.184300341296928 0.0882912252105406 0.140558848433531 0.112485939257593 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"good" 0.194485756778401 0.131423533130375 0.129692832764505 0.117721633614054 0.193056731583404 0.199975003124609 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063
"way" 0.080082370438165 0.114787642860708 0.170648464163823 0.167526940143077 0.130397967823878 0.112485939257593 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"house" 0.183045418144377 0.133087122157342 0.0864618885096701 0.122249388753056 0.216765453005927 0.0124984376952881 0 0 0 0 0 0
"ask" 0.0915227090721885 0.114787642860708 0.102389078498294 0.176582450421081 0.15580016934801 0.124984376952881 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"hear" 0.125843724974259 0.146395834373076 0.122866894197952 0.101874490627547 0.160880609652837 0.0624921884764404 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"never" 0.0686420318041414 0.108133286752841 0.136518771331058 0.101874490627547 0.137171888230313 0.0624921884764404 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845
"leave" 0.102963047706212 0.119778409941608 0.12514220705347 0.126777143892058 0.149026248941575 0.187476565429321 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"own" 0.205926095412424 0.14473224534611 0.0750853242320819 0.117721633614054 0.118543607112616 0.0999875015623047 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"day" 0.0686420318041414 0.14473224534611 0.120591581342435 0.126777143892058 0.111769686706181 0.0499937507811524 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"room" 0.228806772680471 0.0815158623213721 0.118316268486917 0.15167979715657 0.140558848433531 0.299962504686914 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063
"thing" 0.0686420318041414 0.0881702184292392 0.093287827076223 0.0769718373630354 0.0999153259949196 0.137482814648169 0.3690036900369 0.3690036900369 0.3690036900369 0.3690036900369 0.3690036900369 0.3690036900369
"must" 0.194485756778401 0.14473224534611 0.154721274175199 0.0996106130580458 0.0863674851820491 0.0999875015623047 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"where" 0.102963047706212 0.136414300211276 0.136518771331058 0.0814995925020375 0.116850127011008 0.124984376952881 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"friend" 0.0915227090721885 0.129759944103409 0.106939704209329 0.052069184098524 0.0677392040643522 1.0498687664042 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063 0.0230627306273063
"back" 0.102963047706212 0.123105587995542 0.145620022753129 0.110930000905551 0.118543607112616 0.0874890638670166 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"seem" 0.0572016931701178 0.121441998968575 0.0841865756541524 0.0814995925020375 0.106689246401355 0.124984376952881 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063
"long" 0.0572016931701178 0.118114820914641 0.104664391353811 0.129041021461559 0.133784928027096 0.0749906261717285 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"like" 0.0686420318041414 0.0948245745371064 0.145620022753129 0.0905551027800417 0.116850127011008 0.174978127734033 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"after" 0.0572016931701178 0.0914973964831728 0.0750853242320819 0.10866612333605 0.118543607112616 0.0999875015623047 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"these" 0.0457613545360943 0.109796875779807 0.0728100113765643 0.119985511183555 0.110076206604572 0.0749906261717285 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"last" 0.0114403386340236 0.123105587995542 0.0910125142207053 0.110930000905551 0.0999153259949196 0.112485939257593 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"much" 0.080082370438165 0.128096355076442 0.111490329920364 0.0996106130580458 0.0728196443691787 0.0749906261717285 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"case" 0.102963047706212 0.129759944103409 0.127417519908987 0.110930000905551 0.0677392040643522 0.0499937507811524 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"great" 0.0572016931701178 0.101478930644973 0.152445961319681 0.104138368197048 0.0795935647756139 0.0374953130858643 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"through" 0.0457613545360943 0.089833807456206 0.122866894197952 0.135832654170062 0.0711261642675699 0.0374953130858643 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"life" 0.0457613545360943 0.0665435610786711 0.0523321956769056 0.0928189803495427 0.0931414055884843 0.0499937507811524 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288
"light" 0.080082370438165 0.109796875779807 0.102389078498294 0.0701802046545323 0.0914479254868755 0.0499937507811524 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"yet" 0.137284063608283 0.089833807456206 0.0841865756541524 0.0656524495155302 0.0880609652836579 0.0624921884764404 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"old" 0.0457613545360943 0.116451231887674 0.093287827076223 0.0882912252105406 0.0897544453852667 0.0999875015623047 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"cry" 0.171605079510354 0.10314251967194 0.0568828213879408 0.138096531739564 0.125317527519052 0.0124984376952881 0 0 0 0 0 0
"head" 0.0343210159020707 0.0698707391326047 0.0978384527872583 0.0769718373630354 0.0863674851820491 0.137482814648169 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845
"such" 0.102963047706212 0.108133286752841 0.0819112627986348 0.110930000905551 0.0897544453852667 0.0124984376952881 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"stand" 0.0572016931701178 0.0948245745371064 0.106939704209329 0.0905551027800417 0.101608806096528 0.0749906261717285 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"word" 0.0457613545360943 0.0881702184292392 0.0750853242320819 0.0724440822240333 0.123624047417443 0.162479690038745 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"nothing" 0.125843724974259 0.10314251967194 0.0841865756541524 0.0950828579190437 0.0965283657917019 0.0499937507811524 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"first" 0.0228806772680471 0.0964881635640731 0.093287827076223 0.056596939237526 0.110076206604572 0.112485939257593 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"place" 0.0114403386340236 0.0998153416180067 0.120591581342435 0.0611246943765281 0.0965283657917019 0.162479690038745 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"answer" 0.0572016931701178 0.0532348488629369 0.113765642775882 0.167526940143077 0.0931414055884843 0 0 0 0 0 0 0
"door" 0.148724402242306 0.0632163830247376 0.113765642775882 0.106402245766549 0.0795935647756139 0.212473440819898 0 0 0 0 0 0
"watson" 0.0686420318041414 0.194639916155113 0.0546075085324232 0.0203748981255094 0.0931414055884843 0.0124984376952881 0 0 0 0 0 0
"shall" 0.102963047706212 0.0648799720517043 0.166097838452787 0.0973467354885448 0.0423370025402202 0.124984376952881 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"mcmurdo" 0 0 0.0136518771331058 0 0.345469940728196 0 0 0 0 0 0 0
"away" 0.0686420318041414 0.0998153416180067 0.0773606370875995 0.101874490627547 0.060965283657917 0.0499937507811524 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"turn" 0.0686420318041414 0.104806108698907 0.0978384527872583 0.0882912252105406 0.0728196443691787 0.0374953130858643 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"once" 0.125843724974259 0.089833807456206 0.0637087599544937 0.0837634700715385 0.0795935647756139 0.0999875015623047 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"name" 0.080082370438165 0.0865066294022725 0.0750853242320819 0.0814995925020375 0.0863674851820491 0.137482814648169 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"again" 0.0572016931701178 0.10314251967194 0.0864618885096701 0.0747079597935344 0.0643522438611346 0 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
